,Unnamed: 0,gender,race/ethnicity,parental level of education,lunch,test preparation course,math score,reading score,writing score,Total Score,Pass/Fail
0,0,female,group D,some high school,free/reduced,none,45,65,57,167,P
1,1,male,group D,associate's degree,standard,none,88,70,74,232,P
2,2,female,group C,bachelor's degree,free/reduced,none,73,81,70,224,P
3,3,female,group A,associate's degree,free/reduced,none,47,58,51,156,P
4,4,male,group B,high school,standard,completed,81,58,65,204,P
5,5,male,group D,some college,standard,none,85,79,82,246,P
6,6,female,group B,associate's degree,free/reduced,completed,72,94,79,245,P
7,7,female,group B,bachelor's degree,standard,completed,62,77,78,217,P
8,8,male,group D,high school,standard,none,59,50,49,158,P
9,9,female,group A,some college,standard,none,52,60,54,166,P
10,10,male,group D,some college,standard,none,87,65,81,233,P
11,11,female,group A,bachelor's degree,standard,none,42,51,49,142,P
12,12,female,group A,high school,free/reduced,completed,51,47,56,154,P
13,13,female,group D,associate's degree,standard,completed,73,77,75,225,P
14,14,male,group B,some college,standard,completed,80,80,86,246,P
15,15,male,group C,master's degree,standard,none,87,78,79,244,P
16,16,male,group E,some high school,free/reduced,completed,71,67,63,201,P
17,17,male,group D,high school,standard,none,43,48,52,143,P
18,18,female,group B,master's degree,free/reduced,completed,49,61,67,177,P
19,19,female,group C,some high school,standard,completed,81,91,92,264,P
20,20,male,group D,high school,standard,none,53,49,58,160,P
21,21,female,group C,some college,free/reduced,completed,47,71,71,189,P
22,22,female,group B,associate's degree,free/reduced,none,47,64,51,162,P
23,23,female,group A,high school,free/reduced,completed,80,91,85,256,P
24,24,female,group D,some college,standard,completed,78,74,88,240,P
25,25,female,group B,some high school,standard,completed,67,70,74,211,P
26,26,female,group A,associate's degree,free/reduced,none,64,82,74,220,P
27,27,male,group C,some college,standard,none,80,75,62,217,P
28,28,male,group E,some high school,standard,completed,70,71,60,201,P
29,29,male,group B,some high school,standard,none,73,58,54,185,P
30,30,male,group C,bachelor's degree,standard,completed,94,92,90,276,P
31,31,female,group D,some high school,standard,none,86,87,106,279,P
32,32,male,group B,some high school,standard,completed,85,89,73,247,P
33,33,female,group A,some college,standard,completed,76,91,93,260,P
34,34,female,group C,some high school,standard,completed,75,91,82,248,P
35,35,female,group E,associate's degree,standard,completed,89,97,89,275,P
36,36,female,group D,master's degree,standard,none,58,55,67,180,P
37,37,male,group C,associate's degree,standard,none,91,90,87,268,P
38,38,female,group C,some college,free/reduced,none,69,82,88,239,P
39,39,female,group C,some college,free/reduced,none,59,58,62,179,P
40,40,male,group C,associate's degree,standard,completed,64,48,54,166,P
41,41,male,group B,some college,free/reduced,none,42,49,42,133,P
42,42,female,group D,associate's degree,free/reduced,none,57,75,62,194,P
43,43,male,group B,some high school,standard,none,65,55,50,170,P
44,44,male,group B,high school,standard,completed,67,63,72,202,P
45,45,female,group C,associate's degree,free/reduced,completed,66,73,66,205,P
46,46,female,group B,some high school,standard,completed,54,60,52,166,P
47,47,male,group B,high school,free/reduced,none,35,35,26,96,F
48,48,female,group D,master's degree,standard,completed,74,78,87,239,P
49,49,female,group B,some college,free/reduced,none,59,68,67,194,P
50,50,male,group D,high school,standard,none,76,70,70,216,P
51,51,female,group D,high school,free/reduced,none,74,99,84,257,P
52,52,female,group A,associate's degree,standard,completed,61,69,74,204,P
53,53,male,group D,associate's degree,standard,none,60,50,46,156,P
54,54,female,group C,high school,standard,none,61,70,75,206,P
55,55,female,group C,high school,standard,none,77,81,86,244,P
56,56,female,group D,bachelor's degree,standard,none,79,85,95,259,P
57,57,female,group C,associate's degree,standard,none,79,68,76,223,P
58,58,male,group D,some college,standard,completed,62,55,63,180,P
59,59,female,group C,associate's degree,free/reduced,none,48,77,68,193,P
60,60,female,group C,associate's degree,free/reduced,none,51,59,56,166,P
61,61,female,group C,high school,standard,none,42,60,60,162,P
62,62,female,group C,some college,standard,none,58,77,76,211,P
63,63,female,group C,associate's degree,free/reduced,completed,64,69,72,205,P
64,64,female,group C,some high school,standard,completed,70,84,76,230,P
65,65,male,group D,some college,standard,none,70,61,51,182,P
66,66,male,group D,high school,free/reduced,none,68,66,74,208,P
67,67,female,group D,some college,free/reduced,completed,63,78,83,224,P
68,68,male,group B,some college,free/reduced,completed,55,65,70,190,P
69,69,female,group C,some college,standard,none,58,64,60,182,P
70,70,male,group B,some college,standard,none,74,56,50,180,P
71,71,female,group A,some high school,standard,completed,85,95,92,272,P
72,72,male,group D,some high school,standard,completed,83,62,70,215,P
73,73,male,group B,bachelor's degree,free/reduced,none,61,63,51,175,P
74,74,male,group D,bachelor's degree,free/reduced,none,54,46,52,152,P
75,75,male,group E,associate's degree,standard,completed,81,73,67,221,P
76,76,female,group D,associate's degree,free/reduced,none,30,38,38,106,F
77,77,female,group C,some high school,standard,none,65,73,72,210,P
78,78,female,group D,some high school,standard,none,64,54,61,179,P
79,79,male,group C,some high school,free/reduced,completed,62,65,69,196,P
80,80,male,group A,master's degree,free/reduced,none,73,77,75,225,P
81,81,male,group C,bachelor's degree,free/reduced,none,65,73,53,191,P
82,82,male,group D,associate's degree,standard,none,82,75,67,224,P
83,83,female,group C,high school,standard,none,69,71,78,218,P
84,84,female,group D,bachelor's degree,free/reduced,completed,97,105,94,296,P
85,85,female,group D,bachelor's degree,free/reduced,none,72,73,87,232,P
86,86,female,group C,some high school,free/reduced,completed,42,64,70,176,P
87,87,female,group E,bachelor's degree,standard,none,33,37,40,110,F
88,88,male,group D,some college,standard,none,41,58,56,155,P
89,89,female,group C,some college,free/reduced,none,44,40,48,132,F
90,90,male,group C,some college,standard,none,63,58,47,168,P
91,91,female,group D,some college,free/reduced,none,83,78,92,253,P
92,92,male,group B,some high school,standard,none,73,68,70,211,P
93,93,male,group B,bachelor's degree,free/reduced,none,81,66,53,200,P
94,94,male,group C,associate's degree,standard,completed,89,102,96,287,P
95,95,male,group A,associate's degree,standard,none,61,56,59,176,P
96,96,female,group C,some college,standard,completed,73,92,86,251,P
97,97,male,group C,bachelor's degree,free/reduced,completed,69,74,72,215,P
98,98,female,group C,associate's degree,free/reduced,completed,69,75,71,215,P
99,99,female,group C,bachelor's degree,standard,completed,64,79,74,217,P
100,100,male,group C,high school,free/reduced,completed,52,52,49,153,P
101,101,female,group B,high school,standard,none,49,49,54,152,P
102,102,male,group B,bachelor's degree,free/reduced,none,92,78,84,254,P
103,103,male,group D,some college,standard,none,75,55,65,195,P
104,104,female,group A,some college,standard,completed,75,72,78,225,P
105,105,male,group B,bachelor's degree,free/reduced,none,78,63,64,205,P
106,106,female,group B,some college,standard,none,56,74,65,195,P
107,107,male,group E,some college,standard,none,69,78,65,212,P
108,108,female,group D,associate's degree,standard,none,64,71,73,208,P
109,109,male,group E,some high school,standard,completed,93,79,71,243,P
110,110,male,group C,some college,standard,none,68,62,66,196,P
111,111,male,group E,some college,standard,none,56,46,39,141,F
112,112,male,group D,high school,free/reduced,none,77,72,73,222,P
113,113,female,group A,high school,standard,none,55,78,72,205,P
114,114,female,group E,associate's degree,standard,none,70,65,70,205,P
115,115,female,group C,associate's degree,standard,completed,71,90,84,245,P
116,116,male,group E,associate's degree,free/reduced,completed,41,39,43,123,F
117,117,female,group D,high school,free/reduced,none,83,91,87,261,P
118,118,male,group A,bachelor's degree,standard,none,72,60,68,200,P
119,119,female,group D,some college,free/reduced,none,85,89,80,254,P
120,120,female,group E,high school,standard,none,75,92,70,237,P
121,121,female,group D,some high school,standard,none,74,88,88,250,P
122,122,male,group E,master's degree,standard,none,95,80,81,256,P
123,123,male,group D,bachelor's degree,standard,none,79,79,75,233,P
124,124,male,group B,high school,free/reduced,none,36,35,23,94,F
125,125,male,group D,master's degree,standard,none,77,76,72,225,P
126,126,male,group B,some college,free/reduced,none,45,58,46,149,P
127,127,male,group B,some college,standard,none,72,61,69,202,P
128,128,male,group B,bachelor's degree,free/reduced,none,43,48,41,132,P
129,129,male,group C,some college,standard,none,91,72,81,244,P
130,130,female,group C,associate's degree,free/reduced,none,55,67,63,185,P
131,131,female,group B,master's degree,free/reduced,completed,74,103,90,267,P
132,132,female,group C,some college,standard,none,54,62,67,183,P
133,133,male,group E,some high school,standard,completed,77,77,71,225,P
134,134,male,group E,associate's degree,free/reduced,completed,103,95,91,289,P
